1,49817,"'Nam, The. ",15,Marvel. ,1,1,2,,
2,4262,"'Nam, The. ",16,Marvel. ,1,1,2,,
3,49818,"'Nam, The. ",17,Marvel. ,1,1,2,,
4,49819,"Nam, The. ",18,Marvel. ,1,1,2,,
5,75124,"'Nam, The. ",2,Marvel. ,1,1,2,,
6,75133,"'Nam, The. ",21,Marvel. ,1,1,2,,
7,75201,"'Nam, The. ",22,Marvel. ,1,1,2,,
8,75159,"'Nam, The. ",23,Marvel. ,1,1,2,,
9,75160,"'Nam, The. ",24,Marvel. ,1,1,2,,
10,75161,"'Nam, The. ",25,Marvel. ,1,1,2,,
11,75162,"'Nam, The. ",26,Marvel. ,1,1,2,,
12,75163,"'Nam, The. ",27,Marvel. ,1,1,2,,
13,75147,"'Nam, The. ",28,Marvel. ,1,1,2,,
14,75148,"'Nam, The. ",29,Marvel. ,1,1,2,,
15,49815,"'Nam, The. ",3,Marvel. ,1,1,1,,
16,75125,"'Nam, The. ",3,Marvel. ,1,1,2,,
17,75149,"'Nam, The. ",30,Marvel. ,1,1,2,,
18,75150,"'Nam, The. ",31,Marvel. ,1,1,2,,
19,75151,"'Nam, The. ",32,Marvel. ,1,1,2,,
20,75152,"'Nam, The. ",33,Marvel. ,1,1,2,,
21,75153,"'Nam, The. ",34,Marvel. ,1,1,2,,
22,75154,"'Nam, The. ",35,Marvel. ,1,1,2,,
23,75155,"'Nam, The. ",36,Marvel. ,1,1,2,,
24,75157,"'Nam, The. ",38,Marvel. ,1,1,2,,
25,75156,"'Nam, The. ",39,Marvel. ,1,1,2,,
26,75126,"'Nam, The. ",4,Marvel. ,1,1,2,,
27,75158,"'Nam, The. ",40,Marvel. ,1,1,2,,
28,75134,"'Nam, The. ",42,Marvel. ,1,1,2,,
29,75164,"'Nam, The. ",43,Marvel. ,1,1,2,,
30,75165,"'Nam, The. ",45,Marvel. ,1,1,2,,
41,75166,"'Nam, The. ",46,Marvel. ,1,1,2,,
42,75167,"'Nam, The. ",47,Marvel. ,1,1,2,,
43,75168,"'Nam, The. ",49,Marvel. ,1,1,2,,
44,75127,"'Nam, The. ",5,Marvel. ,1,1,2,,
45,50163,"'Nam, The. ",6,Marvel. ,1,1,2,,
46,75171,"'Nam, The. ",64,Marvel. ,1,1,2,,
47,75172,"'Nam, The. ",66,Marvel. ,1,1,2,,
48,75173,"'Nam, The. ",67,Marvel. ,1,1,4,,
49,75174,"'Nam, The. ",69,Marvel. ,1,1,4,,
50,75128,"'Nam, The. ",7,Marvel. ,1,1,2,,
71,78416,'68: Jungle Jim. ,1,Image. ,1,1,3,,
72,78415,'68: Jungle Jim. ,2,Image. ,1,1,3,,
73,78417,'68: Jungle Jim. ,4,Image. ,1,1,3,,
74,78418,'68: Jungle Jim. ,4A. ,Image. ,1,1,3,,
75,78414,'68: Scars. ,3,Image. ,1,1,3,,
76,75122,"'Nam, The. ",1,Marvel. ,1,1,3.5,,
77,75129,"'Nam, The. ",10,Marvel. ,1,1,2,,
78,75131,"'Nam, The. ",12,Marvel. ,1,1,2,,
79,47044,"'Nam, The. ",13,Marvel. ,1,1,2,,
80,75132,"'Nam, The. ",14,Marvel. ,1,1,2,,
121,75135,"'Nam, The. ",70,Marvel. ,1,1,2,,
122,75136,"'Nam, The. ",71,Marvel. ,1,1,2,,
123,75137,"'Nam, The. ",72,Marvel. ,1,1,2,,
124,75138,"'Nam, The. ",73,Marvel. ,1,1,2,,
125,75139,"'Nam, The. ",74,Marvel. ,1,1,2,,
126,75140,"'Nam, The. ",77,Marvel. ,1,1,2,,
127,75141,"'Nam, The. ",78,Marvel. ,1,1,2,,
128,75142,"'Nam, The. ",79,Marvel. ,1,1,2,,
129,50161,"'Nam, The. ",8,Marvel. ,1,1,2,,
130,75143,"'Nam, The. ",80,Marvel. ,1,1,2,,
161,75144,"'Nam, The. ",81,Marvel. ,1,1,2,,
162,75145,"'Nam, The. ",82,Marvel. ,1,1,2,,
163,75146,"'Nam, The. ",83,Marvel. ,1,1,2,,
164,49816,"'Nam, The. ",9,Marvel. ,1,1,2,,
165,39100,'Swirl Eyes' Rabbit,\N,\N,\N,1,49.99,,
166,30964,(After) Life in Gothland. ,1,NBM. ,1.  …,1,1.2,,
167,4,(After) Life in Gothland. ,2,NBM. ,1,1,1.2,,
168,31224,(After) Life in Gothland. ,3,NBM. ,1,1,1.2,,
169,26,(After) Life in Gothland. ,5,NBM. ,1,1,1.2,,
170,38866,(Patient) Zero. ,2,Image. ,1,1,2,,
171,39855,(Patient) Zero. ,3,Image. ,1,1,2,,
172,39856,(Patient) Zero. ,4,Image. ,1,1,2,,
173,68244,1 Month 2 Live,\N,\N,\N,1,10.99,,
174,71709,1 Month 2 Live. ,1,Marvel. ,1,1,2,,
175,71676,1 Month 2 Live. ,2,Marvel. ,1,1,2,,
176,65594,1 Month 2 Live. ,3,Marvel. ,1,1,2,,
177,65593,1 Month 2 Live. ,4,Marvel. ,1,1,2,,
178,66687,1 Month 2 Live. ,5,Marvel. ,1,1,2,,
179,33241,10 Days in the USA,\N,\N,\N,1,14.99,,
180,59877,10,1,Boom Studios!. ,1,1,5,,
181,43941,100 Artists See Satan.,\N,\N,\N,1,16.99,,
182,71818,100 Baddest Motherf*#!ers in Comics Author: Various. Format: Paperback.. ,\N,null,\N,1,6.99,,
183,41200,100 Bullets 10. Subtitle: Decayed. Author: Brian Azarello. Format: Trade Paperback ,\N,null,\N,1,10.99,,
184,59966,100 Bullets 13. Subtitle: Wilt. Author: Brian Azarello. Format: Trade Paperback ,\N,null,\N,1,14.99,,
185,35922,100 Bullets 2: Split Second Chance.,\N,\N,\N,1,10.99,,
186,35921,100 Bullets 3: Hang Up on the Hang Low.,\N,\N,\N,1,10.99,,
187,35920,100 Bullets 4: A Foregone Tomorrow.,\N,\N,\N,1,14.99,,
188,35953,100 Bullets 5: The Counterfifth Detective.,\N,\N,\N,1,9.99,,
189,35952,100 Bullets 6: Six Feet Under The Gun.,\N,\N,\N,1,10.99,,
190,35951,100 Bullets 7. Subtitle: Samurai. Author: Brian Azarello. Format: Trade Paperback ,\N,null,\N,1,9.99,,
241,61325,100 Bullets. ,100,Vertigo. ,1,1,3.65,,
242,23348,100 Bullets. ,13,Vertigo. ,1,1,1.8,,
243,23359,100 Bullets. ,14,Vertigo. ,1,1,1.8,,
244,33480,100 Bullets. ,16,Vertigo. ,1,1,1.8,,
245,13744,100 Bullets. ,18,Vertigo. ,1,1,1.8,,
246,13745,100 Bullets. ,19,Vertigo. ,1,1,1.75,,
247,13746,100 Bullets. ,20,Vertigo. ,1,1,1.8,,
248,13748,100 Bullets. ,21,Vertigo. ,1,1,1.8,,
249,33478,100 Bullets. ,22,Vertigo. ,1,1,1.8,,
250,13749,100 Bullets. ,24,Vertigo. ,1,1,2,,
251,13750,100 Bullets. ,25,Vertigo. ,1,1,2,,
252,13751,100 Bullets. ,26,Vertigo. ,1,1,2,,
253,13752,100 Bullets. ,27,Vertigo. ,1,1,2,,
254,13753,100 Bullets. ,28,Vertigo. ,1,1,2,,
255,13754,100 Bullets. ,30,Vertigo. ,1,1,2,,
256,33479,100 Bullets. ,31,Vertigo. ,1,1,2,,
257,13755,100 Bullets. ,32,Vertigo. ,1,1,2,,
258,23392,100 Bullets. ,33,Vertigo. ,1,1,2,,
259,33482,100 Bullets. ,34,Vertigo. ,1,1,2,,
260,33481,100 Bullets. ,35,Vertigo. ,1,1,2,,
341,13756,100 Bullets. ,36,Vertigo. ,1,1,2,,
342,33483,100 Bullets. ,37,Vertigo. ,1,1,2,,
343,23503,100 Bullets. ,38,Vertigo. ,1,1,2,,
344,23525,100 Bullets. ,39,Vertigo. ,1,1,2,,
345,32733,100 Bullets. ,40,Vertigo. ,1,1,2,,
346,33484,100 Bullets. ,41,Vertigo. ,1,1,2,,
347,13757,100 Bullets. ,42,Vertigo. ,1,1,2,,
348,23559,100 Bullets. ,43,Vertigo. ,1,1,2,,
349,13759,100 Bullets. ,44,Vertigo. ,1,1,2,,
350,23614,100 Bullets. ,45,Vertigo. ,1,1,2,,
